sentence	label
hide new secretions parental units	0
contains wit , labored gags	0
loves characters communicates something rather beautiful human nature	1
remains utterly satisfied remain throughout	0
worst revenge-of-the-nerds clichés filmmakers could dredge	0
's far tragic merit superficial treatment	0
demonstrates director hollywood blockbusters patriot games still turn small , personal film emotional wallop .	1
saucy	1
depressed fifteen-year-old 's suicidal poetry	0
deeply thought ` right-thinking ' films	1
goes absurd lengths	0
moviegoers complain ` n't make movies like used anymore	0
part nothing 's happening ,	0
saw bad movie	0
lend dignity dumb story	0
greatest musicians	1
cold movie	0
usual intelligence subtlety	1
redundant concept	0
swimming young woman 's face , casting actress whose face projects woman 's doubts yearnings , succeeds .	1
equals original ways even betters	1
anything , see karen black , camps storm fringe feminist conspiracy theorist named dirty dick .	1
smile face	1
comes brave , uninhibited performances	1
excruciatingly unfunny pitifully unromantic	0
enriched imaginatively mixed cast antic spirits	1
half dragonfly worse : part nothing 's happening , part something 's happening	0
world cinema	1
good viewing alternative	1
plot nothing boilerplate clichés start finish ,	0
action stilted	0
cylinders	1
find little interest film , often preachy poorly acted	0
far worst movie year	0
sit ,	0
another `` best man `` clone weaving theme throughout funny film	1
's issues adults face marriage think 's liked -- real issues tucked silly crude storyline	1
heroes	1
oblivious existence film	0
sharply	1
entire point shaggy dog story , course , goes nowhere , classic nowheresville every sense .	0
sometimes dry	0
come , already recycled times 'd care count	0
covers territory wit originality , suggesting fourth feature	1
$ 40 million version game	0
gorgeous deceptively minimalist	1
cross swords best	1
fringe feminist conspiracy theorist	0
proves n't lost touch , bringing superb performance admittedly middling film .	1
disappointments	0
horrors	0
muddle splashed bloody beauty vivid scorsese ever given us .	1
many pointless	0
beautifully	1
contrived , well-worn situations	0
doa	0
poor ben bratt could n't find stardom mapquest emailed point-to-point driving directions .	0
subtle touching son 's room	1
starts legend	1
far less sophisticated	0
rich veins funny stuff movie	1
apparent joy	0
shot ugly digital video	0
... sour little movie core ; exploration emptiness underlay relentless gaiety 1920 's ... film 's ending `` ? ``	0
though ford neeson capably hold interest , thrilling movie	0
pretty damned funny .	1
never feel anything characters	0
's lousy one	0
corporate circus recording industry current climate mergers downsizing	0
storylines woven together skilfully , magnificent swooping aerial shots breathtaking , overall experience awesome .	1
highly-praised disappointments	0
sounds like cruel deception carried men marginal intelligence , reactionary ideas women total lack empathy .	0
seem fresh	1
dustbin history	0
director , eastwood game	0
pays earnest homage turntablists	1
weak	0
skip dreck ,	0
contains laughs even less surprises	0
film affirm love 's power help people endure almost unimaginable horror	1
absolute joy	1
generates	1
, like life , n't much fun without highs lows	1
based true historically significant story	1
well-rounded tribute	1
, though many actors throw spark two first appear , ca n't generate enough heat cold vacuum comedy start reaction .	0
much like young robert deniro	1
khouri manages , terrific flair , keep extremes screwball farce blood-curdling family intensity one continuum .	1
fashioning engrossing entertainment	1
spiffy animated feature	1
's sloppily written cast believe anyone central creation bugsy caterer	0
alternating facetious comic parody pulp melodrama , smart-aleck movie ... tosses around intriguing questions difference human android life	1
strung-together moments	0
, generous subversive artworks	1
n't follow stale , standard , connect-the-dots storyline become commonplace movies explore seamy underbelly criminal world	1
funny yet	1
overbearing over-the-top	0
's robert duvall !	1
rich sudden wisdom	1
acted directed , 's clear washington certainly new career ahead	1
memory	1
respectable new one	1
yet grating showcase	0
hate tear eyes away images long enough read subtitles	1
addition sporting one worst titles recent cinematic history	0
, gender-bending comedy generally quite funny .	1
build robots , haul 'em theater late show , put mystery science theatre 3000 tribute almost certainly going go worst -- -- killer website movie year	0
n't work concert	0
direction fluid , no-nonsense authority , performances harris , phifer cam ` ron seal deal .	1
would liked gone one step	1
's harsh work piece storytelling ,	0
hawaiian shirt	1
takes classic story , casts attractive talented actors uses magnificent landscape create feature film wickedly fun watch .	1
provide keenest pleasures	1
altogether slight called kind masterpiece	0
grievous	0
laugh ( maybe twice ) , completely forgotten movie time get back car parking lot .	0
hopeless	0
unpretentious , charming , quirky , original	1
nicks steinberg match creations pure venality -- 's giving old college try .	0
well-written well-acted .	1
n't many conclusive answers film	0
clumsy dialogue , heavy-handed phoney-feeling sentiment ,	0
proves lovely trifle , unfortunately , little love cuteness .	0
bring tissues .	1
film 's mid-to-low budget betrayed surprisingly shoddy makeup work .	0
brings proper conviction role ( jason bourne ) .	1
young woman great charm , generosity diplomacy	1
's something poignant artist 90-plus years taking effort share impressions life loss time art us .	1
silly	0
cinematic bon bons	1
supremely unfunny unentertaining watch middle-age	0
lively engaging examination similar obsessions dominate family .	1
irritates	0
collapse	0
many challenges poses one forgive film flaws	1
, serves workable primer region 's recent history , would make terrific 10th-grade learning tool .	1
wide-awake way	1
( vainly , think )	0
one big excuse play one lewd scene another .	0
effective stick	1
underscore importance family tradition familial community	1
delivers promises : look `` wild ride `` ensues brash young men set conquer online world laptops , cell phones sketchy business plans	1
watching digital-effects-heavy , supposed family-friendly comedy	0
absolutely completely ridiculous	0
's tasteful rock roll movie .	1
movie almost completely lacking suspense , surprise consistent emotional conviction .	0
realistic portrayal	1
trying grab lump play-doh , harder liman tries squeeze story	0
well-thought stunts	1
reveals important special talents put service others .	1
lika da	0
welcome relief	1
promise digital filmmaking	1
one could easily wait pay per view dollar	0
justify theatrical simulation death camp auschwitz ii-birkenau	0
extraordinary faith	1
seen film willing champion fallibility human heart	1
, sometimes beautiful adaptation	1
interesting	0
caruso sometimes descends sub-tarantino cuteness ... part makes sure salton sea works way good noir , keeping tight nasty .	1
overlong , bombastic	0
derivative hammily	0
audacious , outrageous ,	1
best moments	1
disney ransacks archives quick-buck sequel .	0
final , beautiful scene	1
movies suck despite flaws ,	1
eats , meddles , argues , laughs , kibbitzes fights	1
problem film whether ambitions , laudable , justify theatrical simulation death camp auschwitz ii-birkenau .	0
, compelling	1
infectiously	1
picture runs mere 84 minutes , 's glance .	1
think dog movie	0
's remarkable procession sweeping pictures reinvigorated romance genre .	1
so-so films could much better	0
passable date film	1
imax short	1
hate .	0
's pleasant enough -- oozing attractive men	1
one involved , save dash , shows slightest aptitude acting	0
wildly uneven movie	0
pokes , provokes , takes expressionistic license	1
like one ( spears ' ) music videos content -- except goes least 90 minutes , worse , pay want see	0
color depth , rather good time	1
silly , outrageous , ingenious	1
able hit 15-year old 're 100	0
story trouble every day ... sketchy amounts little preliminary notes science-fiction horror film , movie 's fragmentary narrative style makes piecing story together frustrating difficult .	0
year 's best unpredictable comedy	1
starts bad feel like running screaming	0
men black ii achieves ultimate insignificance -- 's sci-fi comedy spectacle whiffle-ball epic .	0
