Unnamed: 0	sentence	target	label	date
0	"I was wondering if anyone out there could enlighten me on this car I saw
the other day. It was a 2-door sports car, looked to be from the late 60s/
early 70s. It was called a Bricklin. The doors were really small. In addition,
the front bumper was separate from the rest of the body. This is 
all I know. If anyone can tellme a model name, engine specs, years
of production, where this car is made, history, or whatever info you
have on this funky looking car, please e-mail."	7	rec.autos	07/11/20 10:48 AM
64	": Ford and his automobile.  I need information on whether Ford is
: partially responsible for all of the car accidents and the depletion of
: the ozone layer.  Also, any other additional information will be greatly
: appreciated.  Thanks. 
: 
SSSSSoooooooooooo!!!!! Its all HIS fault!! Thank God Louis Chevrolet is 
innocent! and that guy Diesel, HE otto feel guilty!

"	7	rec.autos	07/11/20 10:48 AM
73	"
You can avoid these problems entirely by installing an oil drain valve in
place of the bolt.  I have one on both of my cars.  There have been no
leaks in 210,000 miles (combined miles on both cars)."	7	rec.autos	07/11/20 10:48 AM
156	"

In addition to restricted mileage, many classic insurance carriers also require
that the vehicle be garaged when not in use.

$0.02

Ericy
"	7	rec.autos	07/11/20 10:48 AM
201	"

Several years ago GM was having trouble with the rings sticking on the
5.7 diesel.  They traced a cause to the use of 10W-40 oil.  They would
not honor warranty work if 10W-40 was used (if my memory serves me).
5-30, 10-30 or 20 50 was OK'd though."	7	rec.autos	07/11/20 10:48 AM
207	"
I had the same problem in my '90 MX-6. Luckily I had it fixed
under warranty. I think they replaced a tail light gasket.
Check with a dealer, it's a known problem.
"	7	rec.autos	07/11/20 10:48 AM
216	"As an additional data point, I have run Castrol 20W50 exclusively
in the following cars: 75 Rabbit, 78 Scirocco, 76 Rabbit, 78 Bus,
70 Beetle, 76 Bus, 86 Jetta GLI.  I've never had an oil-related
problem.

Disclaimer:  It gets mighty hot down here."	7	rec.autos	07/11/20 10:48 AM
405	"From: thwang@mentor.cc.purdue.edu (Tommy Hwang)
Subject: Advise needed in buying Automobile

   >I am in search of a dependable automobile to purchase.  Below
   >are its requirements:
   >	5. V6 or above

       Most of the cars you mentioned are below (smaller than) V6 engine.

   Tony
--"	7	rec.autos	07/11/20 10:48 AM
445	"





Bzzt.
The manta was a two-door sedan in the US.
It had a 1900 engine.
Was sometimes referred to as an Opel 1900.
Manta's are also ve hot and fun cars too.


















"	7	rec.autos	07/11/20 10:48 AM
462	sorry about that last post, my server neglected to send the message:	7	rec.autos	07/11/20 10:48 AM
492	This appeared today in the 	7	rec.autos	07/11/20 10:48 AM
534	"
OK...

5) How about a fuel gauge that *really* told you how much fuel was
   left.  Like, ""can I make it to where the gas is $1.14 or should
   I get gouged right here at $1.35?""  Accurate to the tenth of a
   gallon would be great."	7	rec.autos	07/11/20 10:48 AM
564	"
--AutoWeek had an article about the car within the past six weeks.
  It was the issue with the Diablo VT AWD on the cover.  Naturally, I
  don't remember the date of the issue offhand, but I can check it if
  anyone is interested.  

--Aamir Qazi

-- "	7	rec.autos	07/11/20 10:48 AM
592	" 
Yeah, I loved the vent windows on my 82 Escort (hell, the only thing I liked
about the car).  One of the things I'd like to see brought back.  Does
anyone know if they're an option on the new Escorts?"	7	rec.autos	07/11/20 10:48 AM
596	"I want to get a car alarm and I am thinking about getting an Ungo Box.
    Does anyone out there have any knowledge or experience with any of
    these alarms?  How about price ranges for the different models?
    Are these good car alarms?  Please email me any responces.

                cak3@ns3.lehigh.edu"	7	rec.autos	07/11/20 10:48 AM
598	"

sure sounds like they got a ringer.  the 325is i drove was definitely
faster than that.  if you want to quote numbers, my AW AutoFile shows
0-60 in 7.4, 1/4 mile in 15.9.  it quotes Car and Driver's figures
of 6.9 and 15.3.  oh, BTW, these numbers are for the 325i.

i don't know how the addition of variable valve timing for 1993 affects it.
but don't take my word for it.  go drive it."	7	rec.autos	07/11/20 10:48 AM
603	"
Don't worry about leaks.  Don't worry about which way to turn the damn thing.
Take a good claw hammer and pry it straight out.  Now, you'll notice, after
all the oil pours out, that there are no theads where there used to be."	7	rec.autos	07/11/20 10:48 AM
636	"Thanks to everyone who responded to my Honda Accord break question.
It does seem that the master cylinder is bad. I will have my
mechanic double check and be sure it isn't something simpler
and cheaper first, but from your responses it sounds like it
is very likely to be the master cylinder.

Thanks everyone!!"	7	rec.autos	07/11/20 10:48 AM
676	"********* 1990 Integra LS for Sale *********

5 speed, sunroof, rear spoiler, new tires
59.7K miles

$ 7950 or best offer.

call 908-949-0878
     908-938-4101

email att!hotsoup!peng"	7	rec.autos	07/11/20 10:48 AM
699	"


This is a good idea - so you can carry your (non-alcoholic) drinks without
spilling or having someone hold on to them.


Fax machines, yes.  Cellular phones:  Why not get a hands-free model?


Seemingly unique to American luxury cars.  The Big Three haven't yet realized
that the 1970s are over.


I agree.  Just another display of Yuppie excess."	7	rec.autos	07/11/20 10:48 AM
722	"
There is something going on here.  It seems that once a month, the VW
group must have get a specific detailed question about Hondas.  I
would like to ask that next month we get one about Hyundai instead of
Honda.  Thank you."	7	rec.autos	07/11/20 10:48 AM
