sentence	label
a bartender working saloon , serving drinks customers . after fills stereotypically irish man 's bucket beer , carrie nation followers burst inside . they assault irish man , pulling hat eyes dumping beer head . the group begin wrecking bar , smashing fixtures , mirrors , breaking cash register . the bartender sprays seltzer water nation 's face group policemen appear order everybody leave . [ 1 ]	unknown
the moon , painted smiling face hangs park night . a young couple walking past fence learn railing look . the moon smiles . they embrace , moon 's smile gets bigger . they sit bench tree . the moon 's view blocked , causing frown . in last scene , man fans woman hat moon left sky perched shoulder see everything better .	unknown
the film , minute long , composed two shots . in first , girl sits base altar tomb , face hidden camera . at center altar , viewing portal displays portraits three u.s. presidents—abraham lincoln , james a. garfield , william mckinley—each victims assassination . in second shot , runs eight seconds long , assassin kneels feet lady justice .	unknown
lasting 61 seconds consisting two shots , first shot set wood winter . the actor representing vice-president theodore roosevelt enthusiastically hurries hillside towards tree foreground . he falls , rights cocks rifle . two men , bearing signs reading `` his photographer '' `` his press agent '' respectively , follow shot ; photographer sets camera . `` teddy '' aims rifle upward tree fells w	unknown
the earliest known adaptation classic fairytale , films shows jack trading cow beans , mother forcing drop front yard , beig forced upstairs . as sleeps , jack visited fairy shows glimpses await ascends bean stalk . in version , jack son deposed king . when jack wakes , finds beanstalk grown climbs top enters giant 's home . the giant finds jack , n	unknown
alice follows large white rabbit `` rabbit-hole '' . she finds tiny door . when finds bottle labeled `` drink '' , , shrinks , enough pass door . she eats something labeled `` eat '' grows larger . she finds fan enables shrink enough get `` garden '' try get `` dog '' play . she enters `` white rabbit 's tiny house , '' suddenly resumes normal size . in order get , use `` magic fan . '' s	unknown
the film opens two bandits breaking railroad telegraph office , force operator gunpoint train stopped transmit orders engineer fill locomotive 's tender station 's water tank . they knock operator tie . as train stops boarded bandits‍—‌now four . two bandits enter express car , kill messenger open box valuables dynamite ; others kill fireman force engineer h	western
the film family move suburbs , hoping quiet life . things start go wrong , wife gets violent starts throwing crockery , leading arrest .	comedy
the opening scene shows interior robbers ' den . the walls decorated portraits notorious criminals pictures illustrating exploits famous bandits . some gang lounging , others reading novels illustrated papers . although youthful appearance , dressed like typical western desperado . the `` bandit queen , '' leading blindfolded new recruit , enters room . he led center room , raises right hand	unknown
scenes introduced using lines poem . [ 2 ] santa claus , played harry eytinge , shown feeding real reindeer [ 4 ] finishes work workshop . meanwhile , children city household hang stockings go bed , unable sleep engage pillow fight . santa claus leaves home sleigh reindeer . he enters children 's house chimney , leaves presents . the children come stairs enjoy presents .	unknown
before heading baseball game nearby ballpark , sports fan mr. brown drinks several highball cocktails . he arrives ballpark watch game , become inebriated game appears reverse , players running bases backwards baseball flying back pitcher 's hand . after game , mr. brown escorted home one friends . when arrive brown 's house , encounter wife becomes furious friend	comedy
the plot black woman going dentist toothache given laughing gas . on way walking home , situations , ca n't stop laughing , everyone meets `` catches '' laughter , including vendor police officers .	comedy
on beautiful summer day father mother take daughter dollie outing river . the mother refuses buy gypsy 's wares . the gypsy tries rob mother , father drives . the gypsy returns camp devises plan . they return kidnap dollie parents distracted . a rescue crew organized , gypsy takes dollie camp . they gag dollie hide barrel rescue party gets camp . once leave gypsie	drama
a thug accosts girl leaves workplace man rescues . the thug vows revenge , help two friends , attacks girl rescuer 're going walk . this time succeed kidnapping rescuer . he bound gagged taken away cart . the girl runs home gets help several neighbors . they track ruffians cabin mountains gang trapped victim set cabin fire . a thug rescuer fig	drama
a young couple decides elope caught midst romantic moment woman 's angry father . they make plans leave , thief discovers plans hides trunk waits right moment steal belongings .	comedy
a white girl ( florence lawrence ) rejects proposal indian brave ( charles inslee ) early one-reel western melodrama . despite rejection , indian still comes girl 's defense abducted warring tribe . in first year films , florence lawrence already popular among biograph company 's anonymous stock company players . by 1909 , known world `` the biograph girl . ''	adventure
no prints first american film adaptation a christmas carol known exist , [ 1 ] the moving picture world magazine provided scene-by-scene description film 's release . [ 2 ] scrooge goes office begins working . his nephew , along three women wish scrooge donate enter . however , scrooge dismisses . on night christmas eve , long-dead partner jacob marley comes ghost , warning horrible fate change ways .	drama
the film opens town mexican border . a poker game going local saloon . one players cheats shot dead another players , mexican named pedro . in uproar follows pedro wounded escapes saloon . the sheriff called , tracks pedro home pedro kills sherriff . while pedro hides , wife juanita , arrested suspicion murdering sheriff . pedro rescues town jail two head me	western
a rejected admirer sets trap kill sweetheart fiance married commit suicide , passes away , leaves confession . fortunately confession found time police man runs church save couple .	drama
john wharton , husband true trusting wife father eight-year-old girl , association rakish companions becomes addicted drink habit , demon rum fastened tentacles firmly , question given free rein inevitable would culminate time . arriving home one afternoon wine besotted condition , indeed terrifying spectacle little family . later , slept effects extent ,	drama
an old woman sends girl begging streets paris snowy evening . callous revelers pass , falls asleep one donor finally drops golden louis shoe . a gambler sure tip roulette cash borrows coin win fortune girl . she wakes , two miss wandering streets gambler finds girl dead .	drama
the story told moving picture world reads :	unknown
mary pickford plays priscilla unemployed maid finds work farm . there meets no-good peddler starts flirting makes fall love . he runs gambling bill asks help pay debts wo n't able marry . [ 1 ]	drama
the day christmas , ebenezer scrooge refuses contribute charity relief committee , rudely rejects nephew fred visits scrooge office . when scrooge returns home , sees ghost former business partner jacob marley , warns punishment suffer next life change ways . that night , scrooge visited three spirits , show past , present , future .	unknown
described `` liberal adaptation mrs. shelley 's famous story '' , plot description edison kinetogram : [ 3 ]	unknown
hemlock hoax detective little respect small tropical town lives , despite fact thinks better sleuth sherlock holmes . a pair boys decide play trick hoax tell murder . hoax rushes scene crime discovers shred cloth , later finding tramp wearing type clothes found . the tramp runs away hoax gives chase , people helping pursuit . eventually , hoax captures	comedy
during american civil war young soldier loses nerve battle runs away home hide ; sister puts uniform , takes brother 's place battle , killed . their mother , wanting shameful truth become known , closes shutters ( hence film 's title ) keeps son 's presence secret many years , two boyhood chums stumble upon truth .	drama
an irish boy ( olcott ) emigrates america escape desperate poverty ireland . after finding work construction , finds success politics . he returns ireland receiving letter sweetheart ( gauntier ) destitute family forced land . [ 3 ]	drama
ramona chronicles romance ramona ( mary pickford ) , spanish orphan prestigious moreno family , alessandro ( henry b. walthall ) , indian appears family 's ranch one day . a man named felipe ( francis j. grandon ) proclaims love ramona , rejects fallen alessandro . they fall deeply love , yet desire wed denied ramona 's stepmother , reacts exiling alessandro ranch . he returns village ,	drama
the film opens upon two sisters ( martha , played mary pickford , millie , played gertrude robinson ) standing field daisies . millie plucks petals one divine whether loves ... loves . the girls part ways ; martha 's next stop vegetable patch lanky farmhand diligently labors shovel . she passes farmhand 's polite offer become sweethearts promptly steals away town get palm read woman fortuneteller . there ,	unknown
