Unnamed: 0	sentence	label	university
0	 Server Date Wednesday GMT Sunday GMT Kenneth Li Home Page Kenneth Li The road of success is always under construction MENG from the Electrical Engineering Department Since working for Zabih of the CS Department have place in the CS Student Page This is where came from Engineering University of skl skl sli	student	cornell
1	 Server Date Wednesday GMT Monday GMT Lai Lai kuen kuen Master of Engineering Computer Science Department Cornell University Address Grove Street Apt Newton MA Telephone Welcome to visit my place This is my Project of Multimedia Systems course Would you like to read daily news of Taiwan my home country Enjoy it This page is still under construction	student	cornell
2	 Server Date Wednesday GMT Tuesday GMT Ankit Patel homepage ANKIT PATEL EAST STATE STREET ITHACA apatel Personal Photo Galleria Chronologia Curriculum Vitae Cornell University Resume Department of Computer Science and Courses Enrolled Graduate Research Assistant for Brian Smith in the Multimedia Group Project Zeno toolkit for interactive development of graphics in multimedia and virtual reality applications Virtual Reality Video Conferencing Multimedia Systems Readings Project and Assignments Project Kernel Endpoint for An Annotated Bibliography on Common Object Request Broker Architecture CORBA Critique on Understanding the limitations of Causally and Totally Ordered Communication by David Cheriton and Dale Skeen Summer School of Computer Science Web Technologies Course Link OS Support for Multimedia Maharaja Sayajirao University Academics Friends from Techo Reliance Industries Limited Job Profile Life at Reliance	student	cornell
3	 Server Date Wednesday GMT Monday GMT Pavel Naumov Welcome to my Home Page invite you to learn more about me and my location in the cyberspace and the real world Look at my work for Nuprl project and if you are tired take rest at my Art Gallery or visit my Cinema look at some of my photos or play game on Java that have written one Sunday Or just send me and go to some other place	student	cornell
4	 Server Date Wednesday GMT Tuesday GMT Lidong Zhou Homepage Welcome to Lidong Zhou Homepage Department of Computer Science Cornell University Ithaca NY Tel Fall Courses CS System Concepts only locally accessible CS Multimedia System Research Related Materials SIGOPS Papers OASIS from Cambridge DEC SRC Research Reports Adage Authorization for Distributed Applications and Groups The ARA Project Low Level Security in Java Safe Internet Programming Legion Project Sirac The Kerberos Network Authentication Service Massively Distributed Systems from IBM Ocaml Homepage Advanced materials on Internet and WWW Standard for Robot Exclusion Computer and Network Security Career WWW Documents Cornell Career Opportunities JobTrak College Grad Job Hunter Job opening in CS For Career Center Services CareerMosaic Page JobWeb Home Page Career Mag XJOBS Page My Friends Homepages Yingjun Yu Fudan classmates Friends at Cornell Information Resourses Tutorials on Computer languages and Tools Big Yellow Book Cornell ISSO Homepage CND SUNRISE Chinese Soccer World Edmund Automobile Buyer Guides AutoSite The Ultimate Auto Buyers Guide Auto insurance Basics Legal Survival Guide Other Links Travel Agencies Rank of CS departments How to Succeed in Graduate School Fudan Homepage Back to Index Last updated on This homepage is under construction	student	cornell
5	 Server Date Wednesday GMT Saturday GMT Todd Peskin Web Page Todd Peskin Web Page Here is picture of me Contents Who am Where am Where worked as Some of my favorite sites My resume Courses taken Who am am student in the program at Cornell University This joint degree program is offered jointly through the College of Engineering and the Johnson Graduate School of Management In May of will receive Master of Engineering in Computer Science The following year will receive Master of Business Administration am also currently the President of the Cornell Chapter of Acacia Fraternity If you are brother of the Cornell Chapter or any other chapter of Acacia and you would like to become part of our mailing list then please contact me through at and will add you as soon as can If you supply me with your chapter and your roll number then will be able to complete your request more quickly Where am Well the best way to reach me is through at check my mail year round so can always be contacted this way Since am an MEng student can also be found many times logged on to the CS department computers Where worked as The Fall semester of my Junior year and the following two semesters worked as intern with BDM International through the Engineering Cooperative Program at Cornell This program enables Cornell Undergraduate students in the College of Engineering to supplement their classroom knowledge with practical experience working for company in their field of experience At BDM worked on the development and enhancement of two national level database systems The server software is run on Sun Microsystem computers and the client software is run on PC running Windows Some of my favorite sites on the Web ESPN NHL Web Page Stock Quotes Online Sun Java page My final project for CS large mpeg file The Client Computers Web Page created for NBA have had visitors since February This page is still under construction hope to add some more content to this page possibly including some useful Java applets Oh in case you were wondering created the Ticker Tape applet at the top The construction applet was borrowed with permission from Sun Java Developer Kit Todd Peskin	student	cornell
6	 Server Date Wednesday GMT Friday GMT Ravi Kumar Ravi Kumar Department of Computer Science Cornell University Ithaca NY ravi Program Checking Approximate checking of polynomials and functional equations IEEE Foundations of Computer Science October Funda Erg uumln Ronitt Rubinfeld Efficient of linear recurrences IEEE Foundations of Computer Science October Sivakumar On without the generator bottleneck Foundations of Software Technology and Theoretical Computer Science LNCS pp December Sivakumar Learning Theory On learning branching programs ACM Conference on Computational Learning Theory pp July Funda Erg uumln Ronitt Rubinfeld Combinatorics Approximating latin square extensions Conference on Computation and Combinatorics LNCS pp June Alexander Russell Ravi Sundaram Parallel Processing Scalability study of the International Conference on Parallel Processing pp August Jeyakumar Muthukumarasamy Umakishore Ramachandran Gautam Shah	student	cornell
7	 Server Date Wednesday GMT Wednesday GMT Kaz Homepage Kazushi Ota kota kazushi currently Master of Engineering student in Computer Science at Cornell University received my BS in EE at the University of Tokyo way back in March work for Mitusbishi Electric Corporation in Japan and this is where return after get my degree For what it worth this page is under construction but then again so am This homepage started as an assignment to get acquainted with html for CS the Cornell CS department Information Superhighway course This homepage will get more interesting as try to get some PICTURES and MUSIC in it Moving Sale coming your way be taking off to Japan in February There are lot of things want to sell so think advertize them HERE Up to the Cornell Computer Science People Page	student	cornell
8	 Server Date Wednesday GMT Thursday GMT Dan Cyber Abode Dan Cyber Abode Greetings Ye travelers through digital space Welcome to mine humble home Prithee gentles all Surf no further than this shore Instead blink thy teary eyes Rest thy weary keys and borne hands And make thyselves home in mine abode About Myself Brief Autobiography Resume Project Deidre modeling of facial expressions Project Deidre II modeling six universal emotions Project SimNET game Faith They say that hardly is Faith prize in this age For sayings of wise men we scorn bending instead our ears to lawyer tones and scientists words What needs have we then of God unseen unheard and untouchable Yet in the silence of night how we dread the unknown how we question the uncertain how we yearn for true Faith Directions In the field of the Lord Love Warm Friendships Ah Mindless Infatuations Huh Sensual Romances Hmm Burning Passions Oh Love Love Love soft sigh Beloved Poetry Hope Myth favored not beauteous Pandora and ever did men place her at fault for her all too human role which released the dreaded demon Hope Many are those who were led astray by few pretty glimmers of false Hope They treaded the torturous broken roads amidst thorns darkness and filthy souls Disease pain and horrors they suffered only to reach feared end in tears Yet say that Pandora can not be blamed for ever as her deeds were told burning hope in our hearts take hold and the world would never be as of old ever frozen in sad sad Misery cold To that which springs eternal	student	cornell
9	 Server Date Wednesday GMT Tuesday GMT Karl Crary home page Karl Crary crary Office Address Upson Hall Office Phone Research Broadly speaking my primary research interests are in type theory and the design implementation and semantics of programming languages My recent emphasis has been in the areas of subtyping programming and modularity am implementing practical programming language KML which combines these features in functional programming language and formulating for it semantics An interesting view of programming languages is as tractable approximation to the intractably rich world of foundational type theories in which the whole of mathematics can be performed New programming language developments often result from mapping constructions through an approximation into programming language setting and conversely new paradigms in programming languages are often not well understood until they have been formulated am interested in deepening our understanding of this relationship between type theory and programming languages particularly the issues of tractability and approximation and how they can be mitigated am also interested in model of compilation that views it as series of translations into lower intermediate calculi where each intermediate calculus can be embedded into type theory and the corresponding interpretation of program is invariant under each translation Such model allows us to relate each stage of compilation to an original semantics which allows the use of standard compilation techniques and optimizations while guaranteeing safety and correctness Also careful formulation of such intermediate calculi make possible additional optimizations that are unavailable in other compilation strategies My work forms part of the Nuprl project here at Cornell The project name comes from the Nuprl system of formal mathematics and logic type theory based on the type theories of that is also implemented in an automated reasoning system My committee consists of Robert Constable Greg Morrisett and Dexter Kozen also work closely with Jason Hickey Selected papers Other Links Mark Leone maintains collection of programming language research resources You can search computer science technical reports online Cornell Grad Life Bible Studies home page The Lurker Guide to Babylon Of all the commandments which is the most important The most important one answered Jesus is this Israel the Lord our God the Lord is one Love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength The second is this your neighbor as yourself There is no commandment greater than these Mark Cornell University home page Department of Computer Science home page	student	cornell
