Unnamed: 0	sentence	label
0	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:84357 alt.pagan:30002 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!uunet!gatech!news-feed-1.peachnet.edu!umn.edu!csus.edu!netcom.com!netcomsv!boo!tweekco!alizard From: alizard@tweekco.uucp (A.Lizard) Newsgroups: talk.religion.misc,alt.pagan Subject: Re: 14 Apr 93   God's Promise in 1 John 1: 7 Message-ID: <RN652B5w165w@tweekco.uucp> Date: Sat, 17 Apr 93 01:05:26 PDT References: <C5K6Gp.Kr3@rahul.net> Organization: Tweek-Com	talk.religion.misc
1	 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!pitt.edu!gatech!ncar!noao!amethyst!organpipe.uug.arizona.edu!hindmost!brian From: brian@lpl.arizona.edu (Brian Ceccarelli 602/621-9615) Newsgroups: talk.religion.misc Subject: Re: [rw] Is Robert Weiss the only orthodox Christian? Message-ID: <1993Apr23.170101.19708@organpipe.uug.arizona.edu> Date: 23 Apr 93 17:01:01 GMT References: <93111.074840LIBRBA@BYUVM.BITNET> <C5vGyD.H7s@acsu.buffalo.edu> Sender: news@organpipe.uug.arizona.edu Orga	talk.religion.misc
2	" Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:121245 talk.religion.misc:84127 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!cs.utexas.edu!uunet!gatekeeper.us.oracle.com!barrnet.net!kyle.eitech.com!kyle.eitech.com!not-for-mail From: ekr@kyle.eitech.com (Eric Rescorla) Newsgroups: talk.abortion,talk.religion.misc Subject: Re: What part of ""No"" don't you understand? Date: 24 Apr 1993 19:39:28 -0700 Organization: EIT Lines: 3"	talk.religion.misc
3	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53422 talk.religion.misc:83821 talk.origins:40969 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!pitt.edu!zaphod.mps.ohio-state.edu!usc!sol.ctr.columbia.edu!ursa!pooh!halat From: halat@pooh.bears (Jim Halat) Newsgroups: alt.atheism,talk.religion.misc,talk.origins Subject: Re: Rawlins debunks creationism Message-ID: <30151@ursa.bear.com> Date: 20 Apr 93 20:35:20 GMT References: <1r15rvINNh8p@ctron-news.ctron.com> <30147@ursa.bear.com> <C5snC	talk.religion.misc
4	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:120675 alt.atheism:53247 talk.religion.misc:83641 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!uunet!pipex!uknet!mcsun!Germany.EU.net!thoth.mchp.sni.de!horus.ap.mchp.sni.de!D012S658!frank From: frank@D012S658.uucp (Frank O'Dwyer) Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Subject: Re: After 2000 years, can we say that Christian Morality is Date: 16 Apr 1993 10:52:59 GMT Organization: Siemens-Nixdorf AG Lines: 51 Me	talk.religion.misc
5	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:120965 alt.atheism:53613 talk.religion.misc:83959 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!pacific.mps.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!agate!doc.ic.ac.uk!warwick!uknet!mcsun!Germany.EU.net!thoth.mchp.sni.de!horus.ap.mchp.sni.de!D012S658!frank From: frank@D012S658.uucp (Frank O'Dwyer) Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Subject: Re: After 2000 ye	talk.religion.misc
6	 Xref: cantaloupe.srv.cs.cmu.edu alt.conspiracy:21977 talk.politics.misc:179266 talk.religion.misc:84096 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!menudo.uh.edu!ccsvax.sfasu.edu!f_gautjw From: f_gautjw@ccsvax.sfasu.edu Newsgroups: alt.conspiracy,talk.politics.misc,talk.religion.misc Subject: Re: A Message for you Mr. President: How do you know what happened? Message-ID: <1993Apr24.155154.4333@ccsvax.sfasu.edu> Date: 24	talk.religion.misc
7	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53548 talk.religion.misc:83912 Newsgroups: alt.atheism,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!howland.reston.ans.net!zaphod.mps.ohio-state.edu!cs.utexas.edu!uunet!mcsun!news.funet.fi!ousrvr.oulu.fi!kempmp From: kempmp@phoenix.oulu.fi (Petri Pihko) Subject: Re: Are atoms real? (was Re: After 2000 years blah blah blah) Message-ID: <1993Apr23.163343.20626@ousrvr.oulu.fi> Followup-To: alt.atheism,talk.religion	talk.religion.misc
8	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:120983 talk.religion.misc:83969 talk.politics.misc:179065 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!pacific.mps.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!agate!overload.lbl.gov!s1.gov!lip From: lip@s1.gov (Loren I. Petrich) Newsgroups: talk.abortion,talk.religion.misc,talk.politics.misc Subject: Re: ABORTION and private health coverage -- letters regarding Date: 23 Apr 1993 18	talk.religion.misc
9	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53273 talk.origins:40927 talk.religion.misc:83666 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!bb3.andrew.cmu.edu!andrew.cmu.edu!nm0w+ From: Nanci Ann Miller <nm0w+@andrew.cmu.edu> Newsgroups: alt.atheism,talk.origins,talk.religion.misc Subject: Re: The Universe and Black Holes, was Re: 2000 years..... Date: Tue, 20 Apr 1993 12:23:27 -0400 Organization: Sponsored account, School of Computer Science, Carnegie Mellon, Pitts	talk.religion.misc
