	Strategy	Query	Class	Value
0	Random	q0	0	40
1	Random	q0	1	60
2	Random	q1	0	28
3	Random	q1	1	72
4	Random	q2	0	27
5	Random	q2	1	73
6	Random	q3	0	35
7	Random	q3	1	65
8	Random	q4	0	24
9	Random	q4	1	76
10	Random	q5	0	23
11	Random	q5	1	77
12	Random	q6	0	34
13	Random	q6	1	66
14	Random	q7	0	29
15	Random	q7	1	71
16	Uncertainty	q0	0	40
17	Uncertainty	q0	1	60
18	Uncertainty	q1	0	35
19	Uncertainty	q1	1	65
20	Uncertainty	q2	0	34
21	Uncertainty	q2	1	66
22	Uncertainty	q3	0	43
23	Uncertainty	q3	1	57
24	Uncertainty	q4	0	39
25	Uncertainty	q4	1	61
26	Uncertainty	q5	0	30
27	Uncertainty	q5	1	70
28	Uncertainty	q6	0	13
29	Uncertainty	q6	1	87
30	Uncertainty	q7	0	6
31	Uncertainty	q7	1	94
32	QBC	q0	0	40
33	QBC	q0	1	60
34	QBC	q1	0	37
35	QBC	q1	1	63
36	QBC	q2	0	34
37	QBC	q2	1	66
38	QBC	q3	0	49
39	QBC	q3	1	51
40	QBC	q4	0	31
41	QBC	q4	1	69
42	QBC	q5	0	27
43	QBC	q5	1	73
44	QBC	q6	0	22
45	QBC	q6	1	78
46	QBC	q7	0	0
47	QBC	q7	1	100
48	GraphDensity	q0	0	40
49	GraphDensity	q0	1	60
50	GraphDensity	q1	0	27
51	GraphDensity	q1	1	73
52	GraphDensity	q2	0	28
53	GraphDensity	q2	1	72
54	GraphDensity	q3	0	29
55	GraphDensity	q3	1	71
56	GraphDensity	q4	0	28
57	GraphDensity	q4	1	72
58	GraphDensity	q5	0	23
59	GraphDensity	q5	1	77
60	GraphDensity	q6	0	36
61	GraphDensity	q6	1	64
62	GraphDensity	q7	0	29
63	GraphDensity	q7	1	71
64	EER	q0	0	40
65	EER	q0	1	60
66	EER	q1	0	24
67	EER	q1	1	76
68	EER	q2	0	47
69	EER	q2	1	53
70	EER	q3	0	44
71	EER	q3	1	56
72	EER	q4	0	38
73	EER	q4	1	62
74	EER	q5	0	20
75	EER	q5	1	80
76	EER	q6	0	20
77	EER	q6	1	80
78	EER	q7	0	7
79	EER	q7	1	93
80	LAL_iter	q0	0	40
81	LAL_iter	q0	1	60
82	LAL_iter	q1	0	33
83	LAL_iter	q1	1	67
84	LAL_iter	q2	0	46
85	LAL_iter	q2	1	54
86	LAL_iter	q3	0	39
87	LAL_iter	q3	1	61
88	LAL_iter	q4	0	35
89	LAL_iter	q4	1	65
90	LAL_iter	q5	0	32
91	LAL_iter	q5	1	68
92	LAL_iter	q6	0	15
93	LAL_iter	q6	1	85
94	LAL_iter	q7	0	0
95	LAL_iter	q7	1	100
96	LAL_indep	q0	0	40
97	LAL_indep	q0	1	60
98	LAL_indep	q1	0	32
99	LAL_indep	q1	1	68
100	LAL_indep	q2	0	44
101	LAL_indep	q2	1	56
102	LAL_indep	q3	0	44
103	LAL_indep	q3	1	56
104	LAL_indep	q4	0	35
105	LAL_indep	q4	1	65
106	LAL_indep	q5	0	21
107	LAL_indep	q5	1	79
108	LAL_indep	q6	0	24
109	LAL_indep	q6	1	76
110	LAL_indep	q7	0	0
111	LAL_indep	q7	1	100
