	Strategy	Query	Class	Value
0	Random	q0	0	10
1	Random	q0	1	90
2	Random	q1	0	5
3	Random	q1	1	95
4	Random	q2	0	7
5	Random	q2	1	93
6	Random	q3	0	14
7	Random	q3	1	86
8	Random	q4	0	12
9	Random	q4	1	88
10	Random	q5	0	12
11	Random	q5	1	88
12	Random	q6	0	11
13	Random	q6	1	89
14	Random	q7	0	9
15	Random	q7	1	91
16	Uncertainty	q0	0	10
17	Uncertainty	q0	1	90
18	Uncertainty	q1	0	17
19	Uncertainty	q1	1	83
20	Uncertainty	q2	0	15
21	Uncertainty	q2	1	85
22	Uncertainty	q3	0	16
23	Uncertainty	q3	1	84
24	Uncertainty	q4	0	11
25	Uncertainty	q4	1	89
26	Uncertainty	q5	0	5
27	Uncertainty	q5	1	95
28	Uncertainty	q6	0	3
29	Uncertainty	q6	1	97
30	Uncertainty	q7	0	3
31	Uncertainty	q7	1	97
32	QBC	q0	0	10
33	QBC	q0	1	90
34	QBC	q1	0	0
35	QBC	q1	1	100
36	QBC	q2	0	0
37	QBC	q2	1	100
38	QBC	q3	0	8
39	QBC	q3	1	92
40	QBC	q4	0	11
41	QBC	q4	1	89
42	QBC	q5	0	26
43	QBC	q5	1	74
44	QBC	q6	0	24
45	QBC	q6	1	76
46	QBC	q7	0	1
47	QBC	q7	1	99
48	GraphDensity	q0	0	10
49	GraphDensity	q0	1	90
50	GraphDensity	q1	0	7
51	GraphDensity	q1	1	93
52	GraphDensity	q2	0	12
53	GraphDensity	q2	1	88
54	GraphDensity	q3	0	10
55	GraphDensity	q3	1	90
56	GraphDensity	q4	0	7
57	GraphDensity	q4	1	93
58	GraphDensity	q5	0	13
59	GraphDensity	q5	1	87
60	GraphDensity	q6	0	12
61	GraphDensity	q6	1	88
62	GraphDensity	q7	0	9
63	GraphDensity	q7	1	91
64	EER	q0	0	10
65	EER	q0	1	90
66	EER	q1	0	14
67	EER	q1	1	86
68	EER	q2	0	20
69	EER	q2	1	80
70	EER	q3	0	12
71	EER	q3	1	88
72	EER	q4	0	12
73	EER	q4	1	88
74	EER	q5	0	8
75	EER	q5	1	92
76	EER	q6	0	3
77	EER	q6	1	97
78	EER	q7	0	1
79	EER	q7	1	99
80	LAL_iter	q0	0	10
81	LAL_iter	q0	1	90
82	LAL_iter	q1	0	18
83	LAL_iter	q1	1	82
84	LAL_iter	q2	0	13
85	LAL_iter	q2	1	87
86	LAL_iter	q3	0	3
87	LAL_iter	q3	1	97
88	LAL_iter	q4	0	2
89	LAL_iter	q4	1	98
90	LAL_iter	q5	0	13
91	LAL_iter	q5	1	87
92	LAL_iter	q6	0	21
93	LAL_iter	q6	1	79
94	LAL_iter	q7	0	0
95	LAL_iter	q7	1	100
96	LAL_indep	q0	0	10
97	LAL_indep	q0	1	90
98	LAL_indep	q1	0	21
99	LAL_indep	q1	1	79
100	LAL_indep	q2	0	8
101	LAL_indep	q2	1	92
102	LAL_indep	q3	0	14
103	LAL_indep	q3	1	86
104	LAL_indep	q4	0	10
105	LAL_indep	q4	1	90
106	LAL_indep	q5	0	3
107	LAL_indep	q5	1	97
108	LAL_indep	q6	0	12
109	LAL_indep	q6	1	88
110	LAL_indep	q7	0	2
111	LAL_indep	q7	1	98
