	num_instances	performance
0	30	0.5304351245239932
1	80	0.5684819606248368
2	130	0.5709678555801819
3	180	0.6155023652942063
4	230	0.6164279039972731
5	280	0.6345803850713638
6	330	0.6200642100268773
7	380	0.641572969777507
8	430	0.6460183832384061
9	480	0.6493342382372762
10	530	0.6691757851881432
11	580	0.6817947441433972
12	630	0.6722564378570551
13	680	0.6831172982867565
14	730	0.6815276009571235
15	780	0.7016731721678626
16	830	0.7138503765571376
17	880	0.6982127526401845
18	930	0.7321437046366921
19	980	0.7278154020323814
20	1030	0.7043252268956949
21	1080	0.7236329022775955
22	1130	0.7206332177358294
23	1180	0.71433424332875
24	1230	0.7259997019522747
25	1280	0.7214482789672145
26	1330	0.7197480074199814
27	1380	0.7270452892200533
28	1430	0.7206466983360779
29	1480	0.7368824609181662
30	1530	0.7362694212400211
31	1580	0.7316318197337288
32	1600	0.7459248418838607
