	Strategy	Query	Class	Value
0	Random	q0	0	10
1	Random	q0	1	90
2	Random	q1	0	12
3	Random	q1	1	88
4	Random	q2	0	13
5	Random	q2	1	87
6	Random	q3	0	6
7	Random	q3	1	94
8	Random	q4	0	11
9	Random	q4	1	89
10	Random	q5	0	8
11	Random	q5	1	92
12	Random	q6	0	8
13	Random	q6	1	92
14	Random	q7	0	12
15	Random	q7	1	88
16	Uncertainty	q0	0	10
17	Uncertainty	q0	1	90
18	Uncertainty	q1	0	19
19	Uncertainty	q1	1	81
20	Uncertainty	q2	0	15
21	Uncertainty	q2	1	85
22	Uncertainty	q3	0	12
23	Uncertainty	q3	1	88
24	Uncertainty	q4	0	11
25	Uncertainty	q4	1	89
26	Uncertainty	q5	0	7
27	Uncertainty	q5	1	93
28	Uncertainty	q6	0	2
29	Uncertainty	q6	1	98
30	Uncertainty	q7	0	4
31	Uncertainty	q7	1	96
32	QBC	q0	0	10
33	QBC	q0	1	90
34	QBC	q1	0	0
35	QBC	q1	1	100
36	QBC	q2	0	0
37	QBC	q2	1	100
38	QBC	q3	0	8
39	QBC	q3	1	92
40	QBC	q4	0	11
41	QBC	q4	1	89
42	QBC	q5	0	27
43	QBC	q5	1	73
44	QBC	q6	0	23
45	QBC	q6	1	77
46	QBC	q7	0	1
47	QBC	q7	1	99
48	GraphDensity	q0	0	10
49	GraphDensity	q0	1	90
50	GraphDensity	q1	0	6
51	GraphDensity	q1	1	94
52	GraphDensity	q2	0	6
53	GraphDensity	q2	1	94
54	GraphDensity	q3	0	12
55	GraphDensity	q3	1	88
56	GraphDensity	q4	0	9
57	GraphDensity	q4	1	91
58	GraphDensity	q5	0	9
59	GraphDensity	q5	1	91
60	GraphDensity	q6	0	11
61	GraphDensity	q6	1	89
62	GraphDensity	q7	0	17
63	GraphDensity	q7	1	83
64	EER	q0	0	10
65	EER	q0	1	90
66	EER	q1	0	13
67	EER	q1	1	87
68	EER	q2	0	18
69	EER	q2	1	82
70	EER	q3	0	12
71	EER	q3	1	88
72	EER	q4	0	13
73	EER	q4	1	87
74	EER	q5	0	8
75	EER	q5	1	92
76	EER	q6	0	3
77	EER	q6	1	97
78	EER	q7	0	3
79	EER	q7	1	97
80	LAL_iter	q0	0	10
81	LAL_iter	q0	1	90
82	LAL_iter	q1	0	14
83	LAL_iter	q1	1	86
84	LAL_iter	q2	0	7
85	LAL_iter	q2	1	93
86	LAL_iter	q3	0	4
87	LAL_iter	q3	1	96
88	LAL_iter	q4	0	2
89	LAL_iter	q4	1	98
90	LAL_iter	q5	0	26
91	LAL_iter	q5	1	74
92	LAL_iter	q6	0	17
93	LAL_iter	q6	1	83
94	LAL_iter	q7	0	0
95	LAL_iter	q7	1	100
96	LAL_indep	q0	0	10
97	LAL_indep	q0	1	90
98	LAL_indep	q1	0	11
99	LAL_indep	q1	1	89
100	LAL_indep	q2	0	17
101	LAL_indep	q2	1	83
102	LAL_indep	q3	0	14
103	LAL_indep	q3	1	86
104	LAL_indep	q4	0	9
105	LAL_indep	q4	1	91
106	LAL_indep	q5	0	5
107	LAL_indep	q5	1	95
108	LAL_indep	q6	0	13
109	LAL_indep	q6	1	87
110	LAL_indep	q7	0	1
111	LAL_indep	q7	1	99
